sentiment,processed_reviews
negative,busty beauty stacie randall plays pvc clad badass bitch alexandra faithful acolyte faust evil entity trapped hell determined free master malevolent minx breaks warehouse steal magical gem vital success whilst conducting satanic ritual summon faust silly mare accidentally enters pentagram drawn floor results loss gem release two diminutive trolllike creatures called lite darknow alexandra must find replacement gem going easy stone trick worn around neck exlover police detective jonathan graves peter liapis investigating warehouse robbery knows well evil alexandra capable meanwhile wisecracking interdimensional halfpints lite dark get sorts zany trouble try find way back homein warped movie world jim wynorski females bigbreasted babes fashion sense cheap hooker ghoulies iv exception every woman filmwhether police captain curator antiquities mental patient asylumis hot hot hot wears lot fact makes otherwise totally unwatchable piece stv crap bearablebut warned even though presence seminaked quality crumpet makes going slightly easier still plenty film warrant labelled ordeal acting wooden dialogue painful black humour dvd blurb describes funny knee knackers comedic banter lite dark particularly cringeworthy special effects bargain basement consisting rubbery creatures visual effects would looked dated ten years earlier solely high bimbo quotient
negative,really like salman kahn really disappointed seen movie much plot appealing salman however look good movie looked young refreshed worth price dvd music bad quite nice usually indian movies least two three hours long short movie indian film american actress played movie television hit series heroes ali larter acting lot desired however look good indian dresses wore movie lot desired hope salman lot better next movie thank
negative,sure producers needed trade name somewhat successful movie franchise title suggests sequel first three movieswhich even though marques houston appear played totally different character eight years older film okayso reid martin talented could carry film themselvesbut trade hp franchise seems could made sort reference albeit minor earlier movies sure everyone wanted see hoodwinkedinto thinking seeing sequelnot totally different film familiar name sorrykym whitley funny could hold candle late robin harris ketty lester dc curry earlier films although meagen good mari morrow substantial visual diversioni give thumbs naming film last minute would ok furthermore hudlin brothers produced first three movies involved making film
negative,film laboured along predictable story lines shallow characters ever seen writer obviously bought playbook write space disaster movie followed play play particular stereotypical use astronauts talking loved ones outer space putting brave show face disaster done time time againmax q appears written hope producers would throw million project judging latter half film contained numerous lame attempts special effects producers could muster thousand learn film nominated special visual effects emmy absolutely gobsmackedi think handful high school students pass media studies could created believable effectsand plot holes numerous mention pick one example nasa expert surely highly implausible worker attached shuttle simulator would suddenly hold position power control room things start go pearshaped program surely someone experienced mission control program director would call rather twentynine year old control room beforethe saving grace film work bill campbell manages make good attempt salvaging something train wreck scripti give film aboveaverage work bill campbell lead role saving lower mark
negative,caddyshack two good movie compared original stack robert stack horrible replacement ted knight jackie mason funny compete rodney dangerfield ty webb funny character original characters movie lack punch original henry wilcoxon example except hystericly funny lawyer peter blunt played randy quaid every line says reminds originals humor especially scene office go law suits motions find live come house beat door fing baseball bat make bonfire chippindalemaybe roast golden retriever arff arff arff eat comin upstairs junior grabbing brooks brothers pjs cramming brand new bmw tight understanding offsetting small role however dan acroyd obviously replacement bill murray voice beyond irritating everything even funny stupid overall caddyshack ii good movie comparison awesome original cut
negative,honestly short film sucks dummy used necro scene pretty well made still phony enough looking ruin viewing experience unearthed dvd crisp clear made mind helps hinders film little grainy might added creepiness factor going idea film much hype surrounding subject matter honest necrophilia scenes films like nekromantik visitor q among others shocking aftermath talk film loneliness manner deep philosophy bull expensive beautifully filmed turd shocking disgusting insist viewing rent give fact many people make explicit movies necrophilia definitely bigger selection us sickos filming good gore watching rubbery looking doll get cut open considered gore absolutely nothing going overhyped mess hand genesis cerdas sequel aftermath available double feature released unearthed films absolute masterpiece short film really showing good director cerda really given right material although care aftermath genesis well made forgive cerda definitely keep eye future
positive,thought mukhsin wonderfully written entertainment tonnes subtle messages think yasmin trying bring across yes might confusing youespecially watch sepet andor gubra timesi bet noticed use characters two movies right really ironic characters relate like bossy neighbour prostitute gubra chick snooker pad turns religious wife pious man future absolutely love voiceovers crude yet awakeningly fresh like took shot rumah tumpangan gamin signboard suddenly mukhsins voice saying bismillahhirrahmannirrahim scene climbed treeit captured malaysians attitudeand mild way sniggering pathetic portrayed character example even kids really sharp tonguedcomplete shrill annoying voice simply bad mouth people movie long busybody talk people life sorted say movie totally reached expectation exceeded kept glued screen could even take eyes even make cinema ha ha
positive,golf fan means may pm movie started scene late old movies like golf however within first scene young boy harry vardon awaken voices men goes outside inquire told going build golf something turned television something stirred back movie excellent see young boy man professional golf player haunted visions childhood meet true focus movie francis decisions makes golf meet mother father want protect class thing obvious period little eddie lowery caddy encouraging words little pushes instrumental francis winning want give away much super please see movie
negative,upon viewing tobe hoopers gem crocodile developed great interest collegecrocodile niche exploitationmonster genre look forward wayward producer follow several sequels delightful bonbons camp goodness ed wood could bring subtle sense flair dignity remarkable scripts ed writing scripts room full monkees creating crocodile special effects computer wed need would cast crocky fodder russ meyer breasts ren hoek pectoral implantswhile tobe hoopers crocky opus referenced movies blood surf chose dish bunch aging themes chum bucket movies see look past revenge nerds sequel sets find allusionshomagesripoffs jaws temple doom indiana jones last crusade convent godzilla james bond movie also try find readyfortv fade editor gave making sense stocki disappointed crock get try sotto voce tenor soliloquy environmentalismor crocky appreciation quasicaptain ahab story get tour de force speach perhaps coming years well see crock galloping shootout golden sunset hopefully monkey flush crocky toilet international space station midgets enjoy exploitative waltz zerog monkeymidgetcrocodile bloodshedallinall lack whammy bar surf music irked
positive,tries epic adventure century cast like shô kasugi christopher lee johnrhys davies really perfect badventure time actually pretty fun swashbuckling adventure even flaws captures interest must felt biggest movie ever people made even made modern feel feeling old errol flynn movie big adventure movie big thing hollywood afraid feeling never old movies hand real feeling hate think okay adventure movie really love soundtrack damn want theme song
positive,last hard men finds james coburn outlaw long sentence breaking free chain gang friends head mexican border jail safety coburn mission revenge kill peace officer brought process killed womanthat peace officer charlton heston retired knows coburn explains daughter barbara hershey coburn holed shack involved waco like standoff indian woman killed hail bullets fired something hes proud collateral casualty manhuntlest feel sorry coburn let us us know full well evil man truly heston usual stalwart hero acting honors last hard men go james coburn blows everyone else screen hes coburn gets bright idea making sure heston trails kidnapping hershey taking indian reservation white authorities touch knows heston make personal thencoburns gang includes morgan paull thalmus rasulala john quade larry wilcox jorge rivero heston chris mitchum along soninlaw bethe last hard men one nasty brutal western andrew mclaglen directed thinking may project originally intended sam peckinpaugh sure shows lot influence liberal use slow motion accentuate violence lot little peckinpaugh lite last hard men film
negative,maybe title trailer certainly interview dvd director keeps saying hi kids camera like buffoon expectations entrails virgin least bit sleazy fun good sex scenes brutal bloody killings weird japanese penetrator turns way sleazy good bad whatever problem one see also italian sexploitation flick porno holocaust similar many respects balance sex violence much sex turn prototypical porno even much production quality comparison professional porno movies killing scenes least little tack maybe smidgen ingenuity creating creaturekillerwhatever entrails virgin neither safe say pretty soulless movie even one worst ever made horndog japanese fetishists get girls trouble men brains headsin case given photo team guys taking shots girls nothing salacious way dense fog stay house one night picked one one murderer hes credited first director kazuo gaira komizu decides put quota random sex scenes early get spliced phoned take pick clips one photographers sex one girls elsewhere looks like another movie settled house wrestling scene poorly choreographed shot yeah really need see rape killings first rape photographers promise girls jobs time murderer like damatos creature simply covered mud given stupid facial unknown reason kills men andor rapes women one onenow latter taken considered highlights movie like saying however croûtons best part wretchedly tasting salad eyegouging scene spike thrown like olympic event scene actually kind cool finally entrailing overly sexcrazed girl whose inconsequential name remember even becomes disappointing correct title top sex scenes become tedious gaira indulgence longtakeswithoutcutaways everything japanese censors blurred anyway dubbed actors would think seem enjoying enough hence need let speak overall feeling entrails virgin lumpy one gawked without shred suspense true horror watch last girl left alive virgin picture tries stop murderer getting lasts five minutes keeps throwing sticks want done hate women mantra ease rid altogether
negative,scenes actually attempt depiction revolutionary struggle resemble hirsute boy scout troop meandering tentatively swimming holes sharif please god palance try hand fiery oratory sound like kurtz swallowing bug displays strategic brilliance incorporate map cuba replete smiling fishies ocean positively vaudevillian hypothesis bay pigs came pass leave us one comical dentistry scene surfeit uppity hollywood peasants address camera though moving train kicks passel homoeroticism limited castros manic unremitting cigarfellatio never trust medved even busted clock right twice day historically awful movie
positive,film took surprise make habit finding little possible films attending trailers reviews provide spoiler spoiler knew upon entering theater documentary long married couple imdb readers gave rotten tomatoes users ranked critics averaged amazing anything underrated little gemfilmmaker doug block decided record parents posterity beginning film treated requisite interviews parents outspoken mother mina less forthcoming dad mike immediately found couple interesting idea filmmaker mike minas son doug going take us matter fact doubt doug knew going thislife takes unexpected twists turns beautifully expressive film follows journey difficult verbalize moved story unique way told absolutely riveting beginning end really mustsee even fan documentary genre film make think life might even evoke memories thought long forgotten birch street one rare filmgoing experiences makes deep impression never leaves best news hbo hand production instead playing limited art house audience eventually millions people chance view incredible piece work bravo
positive,stephen hawkings genius king geniuses watching movie makes feel dumb great movie highly entertaining intriguing movie centers around wheelchair bound stephen hawkings man makes einstein look average theories scientific discoveries universe time galaxy black holes everyone sometime another really intense high comes moment think theyv got universe cosmos figured swear soon sober write well man actually held feeling six hours man despite suffering lou gehrigs disease become greatest mind world yet seen watch listen formulated theories black holes awesome see
negative,story psychic woman tory returns hometown begins reliving traumatic childhood past death childhood friend abusive father tory discovers friend first string murders still occurring psychic powers help solve crimes stop continuing murders really need find oh god bad know nora roberts fans flock movie give tons rest us see imdb score actually think movie worth watching fooled ending predictable acting terrible even get started southern accents story trite rememberyou warned
negative,oh god must seen twelve ask may young stupid anyone could see bad movie nasty gross unscary silly seen impressive effects disneyland seen better performances school play seen convincing crocodiles zoo nothing sit water ignoring children tapping glassthe story set northern australia handful ambitious young people trying new water sport surfing shark filled waters soon becomes evident something dangerous water learn get help grizzly middle aged fisherman wants kill animal avenge eating familyi think seen every crocodile film made last fifteen years best lake placid worse sequel blood surf would second worst croc flick think primeval crocodile tailing closely behindthe australian saltwater crododile one dangerous creatures resulting hundred injuries deaths every year movies like blood surf however ruin ferocious image creature good hour half viewers life unless really want see avoid blood surf
negative,fate leads walter sparrow come possession mysterious novel eerie similarities connections life based around number story unfolds real life fiction sparrow must figure connection book story eventually endthe number offers intriguing premise undone weak execution film failed many different levels pretty disappointing held much potential screenplay probably worst part filled silly sequences laughable dialog killed mood movie seemed like screenwriter good idea know develop stretch ninety minute running time second half film running low ideas twist pretty obvious ending awfuljoel schumacher responsible one worst movies ever redeem little phone booth films number reminds hes still capable making stinker movie drenched style get good focus moves film clunky slow pace switches reality actually happening book quickly got annoying actual book film titled number awful detective story audience gets stuck listening carrey narrate bored tears carrey finally done book get stuck watching run around trying solve mystery point audience lost interest real tension impatiently wait movie reach horrible ending unconvincing explanation celebrating film finally finishedthe acting mostly average pretty forgettable jim carrey clearly sleepwalking performance even seem trying either completely top scenes wooden narration complete bore listen put life inside character virginia madsen best could limited role needs pick better scripts logan lerman pretty bland danny huston overall number awful thriller offered laughs suspense thrills rating
negative,brought film joke friend could worst joke play film barely watchable acting dire worst child actor ever used hasslehoff giving substandard performance plot disgraceful points bored wondering hell going tries gruesome places laughablejust terrible
negative,probably worst movie ever seen life stupid plot special affects ridiculous never seen bad acting life good part movie hot guysespecially drew fuller know people thinking made movie even want finish whole thing get point movie guys bed touching mean like kind sick twisted kiddy porn would advise anyone heard movie interested seeing forget find another movie watch disappointed whole movie complete waste time opinion
negative,typical steele novel production two people undergone sort tragedy manage get together despite odds would call spoiler anyone read steele novel knows end want know much plot keep readinggilberts character ophelia woman french decent lost husband son accident gilbert needs stop films required accent otherwise good actress realistically pull kind accent brad johnson also excellent actor matt recovering rather nasty divorce gentle convincing compelling rolethe two meet beach daughter pip initially ophelia accuses matt child molester talked art kid become friends episode couple falls lovethe chemistry two leads great even though talent two people opinion question best could predictable plot script borders stereotypical two people meet tragedy bigger tragedy secret revealed another tragedy get together wish nutshelli wanted mindless entertainment got regard genre romantic films one fails memorable secret affair janine turner far superior steele book steeles earlier books turned film
negative,oh noes one attack japanese ghost girl movies even remember many seen maybe sells scary japanese horror movies similar since first one also pulling kid seen pulled scene many times many horror movies cellphone scene also nothing new dramaticness guy getting hit train kind sucked mean lacked dramaticness ok kids listen japanese rock think unique well let tell million one seen worse missing anything seeing
negative,nicholas walker paul local town reverand married martha ally sheedy also habitual womanizer decides fake death run away current affair veronica dara tomanovich however gets bout amnesia hence name film sally kirkland also hand crazy old coot pines good reverand shades misery type way sad see pretty good cast wasted like least bit john savage horridly forgettable role shoddy private investigator film billed black comedy one bring elements said movie bring former spades sadly contains none latter furthermore emphasize characters thus absolutely vested interest technically alltogether bad movie extremely forgettable oneeye candy dara tomanovich gets topless sally kirkland also shows skin grade c saw showtime showcase
negative,hollywood movie industry laziest one entire world needs single hit flood theaters old crap reinvented take superheroes example xman spiderman daredevil elektra ghost rider hulk japanese horror remakes even worst took ring pitchperfect mostly mr gore verbinsky bring ton lookalike creepywoman based horrors eg ring eye dark water fine pointless grudgesthe first grudge entirely bad scary way one could expect plus plot brains mixing narratives grudge exactly like previous could good thing hey boy men black ii nice thing xerox entire screenplay change villain grudge critic goes waytired scares bad acting except amber tamblyn clichés place three stories take place different places time aubrey tamblyn investigating drove sister karen sarah michelle gellar death allison arielle kebbel taken colleagues visit house incident depicted first movie took place finally american family witness strange stuff happening apartment next door glad say mean everything tied end one must rely end make good picture everything else simply tiresome dullthe chills girl alone lockers someone enter house others dig deep meanwhile ghosts keep killing killing killing seems even deadlier ten world wars ebola epidemic hey seem like another bad japanese remake something called pulse yeah day day getting easier hold grudge hollywood bullshits
positive,periscope library since first arrived vhs since acquired dvd digital cinema nowit quirky flick go militarily overboard either pro con first foremost comedy vehicle main characters quite surprised sequel never offeredthe movie gained following borders cult obsession even among young became aware visiting uss drum mobile alabama group cub scouts grandson among taken roles movie planned relive overnighter boardit fun romp makes proud navy hollywood rare companythanks kelsey grammar lauren holly rob schneider making could otherwise unremarkable movie great entertainment
negative,came already seen film curious others say iti feel really profusely apologize canadian film ever cross eyes moment hear cure retinal bleeding reported every dozen casesi like everyone else rented movie believing stupid bmovie ripoff blade thought sure could use good laugh stupid movie ill give creators film one positive comment creation thanks removing rec xxxxxx bottom righthand corner screen see would distraction seeing movieand record saw movie watch dialogue incoherent scenes took place grandmothers trailer swear godyou know writing anymore painful
positive,deanna durbin nan grey barbara read three smart girls universal film introduces deanna durbin film audiences also stars ray milland mischa auer charles winninger john king binnie barnes alice brady sweet story three young women living switzerland divorced mother hear father winninger marrying seen years knowing mother still loves board ship america help housekeepernanny determined stop wedding realizing intended called precious barnes nothing golddigger aided abetted mother brady arrange introduced wealthy count arranged fathers accountant king man chooses fulltime drunk auer girls mistake actual wealthy count milland messthis delightful film cloying overly sugary nice performances particularly auer milland barnes brady young women pretty good work emphasis course young durbin natural actress beautifullytrained singer fact voice youngster much even would adult trouble high notes later put much weight middle voice sings delightful il bacio police stationone nicest things film see father played charles winninger want children around sees gets know barnes golddigger young girls mother looks way inference probably older man seeking youth younger glamorous woman fact finds youth seeking daughtersuniversal gives durbin big star buildup final shot movie ray milland point still paying dues probably surprise even film fans young attractive isvery entertaining course led sequel big stardom deanna
positive,anyone wondering one makes movies like used conversation character simple theme friendship struggling evolve something new better different folks need take film see top notch writing directing acting melds wonderful evening observation things used italy england days times funneled terrific comedy entertainment made alfred molina joan plowright polly walker josie lawrence jim broadbent miranda richardson michael kitchens major roles brush stroke direction mike newell actors accomplish vividly memorable performances photographed sublimely subtle painters eye reminiscent theatrical bedroom farce turn century film might called friendship farce becomes worthwhile experience growth romantic nature within character viewer artistic telegram importance caring around us
negative,watched series curiositywanting see could possibly modern technologyout cecil b demilles classic epic starring charleton hestonyul brenner sir cedric hardwicke course let yes biblical characters correct give us spectacular theatrical scenes held interest throughout first movie going miniseries rivoting scenes burning bush parting red seadrowning pharohs armies building sethis pyramids could done todays technology scale blockbuster movies lord rings matrix obviously want leave lasting impression faith sacrifice much needed trouble times
positive,daniel daylewis versatile actor alive english aristocratic snob room view passionate irish thief name father impudent violent butcher gangs new york performance ten times stronger adrian brodys pianist outrageous cristy brown cerebral palsy left foot name roles influence eachother seperate utterly unique changes completely character takes beginning believe act anything anythingas cristy brown stunning ridicule character pity character difficult achievement cristy brown comes life smart man outrageous man humanthis movie despite small scenetransition faults like inspiration yes predictable stupidly sentimental laughed cried single moment cheese proof hollywood moviemy favourite scene scene restaurant cristy discussing painters eileen peter friends daniel daylewis reaches acting climax ill kick part anatomy animated wheel cripple performance never slows never falters beautiful simply lot screen time watch never get tired cristys perspicacious eyes twitching guttural speechesa mustsee fo sho yo
negative,guess would originally going least two parts thus least quarter longer otherwise one explain confused abbreviated storyline never completely lost often partially lost usually unclear character motivation movie feels though joining plot points dropped squeeze time slotif longer might make sense still would much good movies interesting idea war zeus hera war male female movie drops ball making heras followers fairly horrible clear zeus followers believe movie also interesting see gods real certainty exist got couple intriguing ideas anything useful thembad dialog cardboard characters one interesting scene involving hercules three antagonistic sons unwatchable also worth watching
negative,well like watch bad horror bmovies think interesting see stupidity unability creators shoot seriously good movie always compare movies example spielbergs works againandagain understand huge difference see like ed woods movies inept funny people chilling funny even interesting extremely boring horror movie without anything makes even bad movies watchable acting screenplay direction thrills even blood extremely inept amateurish film definitely worst movie ever seen seen lot worst movies believe warned
negative,worst movie ever seen well worst probably ever see see need rehash others said previously forewarnedthis one bad movies think want watch want able make fun plain bad bad bad bad badthis movie equivalent pet rock friend wait wait wait wait wait wait wait wait something happen unfortunately never least pet rock knew getting lions gate completely deceives bombshell nothis disaster watching film would swear george w bush hands making film yes idioticstay away unless course want watch worst movie time probably lions gate figured would make money piece tripe
positive,mario fan long remember fond memories playing super mario world kid game brought back many memories adding something new super mario galaxy latest installment amazing mario franchise much different game mario still keeping intact greatest elements mario first noticeable difference story takes place spacethe story begins much like mario game mario receives letter princess peach inviting celebration castle mushroom kingdom upon arriving peachs castle mario finds bowser son bowser jr attacking castle airships bowser kidnaps princess peach lifts castle space midst castle lifted space mario falls lands unknown planet mario found talking star named luma taken back lumas home floating space station mario meets many lumas also meets leader woman named rosalina rosalina tells mario bowser taken away space stations power stars scattered across universe mario help lumas find save peach thus adventure beginsthe way play game flying space station galaxies galaxy consists multiple planets mario travels amongst levels via shooting stars retrieve power stars mario many times walk way around planets without losing gravity planets small others big many planets similar classic mario environments best thing game controls stuff like jumping still wiimote used many unique ways game shake remote mario perform spin used primary attack game well activate shooting stars also point remote screen use pointer fire star bits enemies objects environment graphics far best graphics wii hard describe great game looks could probably almost say looks good gamesmy minor gripes going upside effect takes getting used also story pretty weak worst part lose lives turn game matter many last quit restart lives still minor problems aside superb game highly entertaining challenging type game waiting wiia perfect
positive,short film inspired soontobe full length feature spatula madness hilarious piece contends similar cartoons yielding multiple writers short film stars edward spatula fired job joins fight evil spoons premise allows funny content near beginning barely present remainder feature films minute running time absorbed oddball comedy small musical number unfortunately much else lies plot set really time show surely follows plot better many highbudget hollywood films film worth watching least times take expect deep story
negative,okay last night august distinct displeasure meeting mr van bebble showing film manson family three penny chicago part chicago underground film festival say first film obvious rip every kenneth anger roman polanski oliver stone terry gilliam movie ever seen second short q session show mr van bebble immediately stated never made contact actual manson family members charlie calling liars saying wanted nothing film based van bebbles take trial seen living room tv news assuming autobiography book helter skelter directly mimicked narrative second dibs questions asked trying present outsider mtv sex drugs rock n roll version necessarily true story question obviously pissed sloshed director started shouting f shut f truth movies bullshwell anyway even think ridiculous next day read tagline film heard laws side storynow hear story told manson family excuse guy never even spoken family considers liars want anything gods name tell story ridiculous statement ever heard film obviously catered sex drugs rock n roll audience trouble attracting small dimly lit theatre even obviously spawned sex drugs rock n roll mind man could even watch film without getting every ten minutes go get beer shout sort rocky horroresque call line actors screen film accomplishes little warping publics image actual events helped shape state america much world today sort slashercomic bookpornorape fantasy dreamed obviously shallow individualthe film definitely impressive look soundtrack refreshing contained actual samples charlies work family lie album editing nice choppy simulate nauseating uncertainty modern music videos film would made much better addition catalogues mtv underground film festival matter minds intellectual observers felt like midnight rocky horror viewing way audience dressed behaving probably best part experience cast good exception charlie resembled sort stoned dungeons dragons enthusiast actual role portraying descriptions film gave full energy throwing ten things physical match slow lethargic chubby representation actually presentedall film basically explains sadie maybe linda declares end write bunch bullsh books make bunch bullsh moviesetc etc case point even disclaimer based true story dead giveaway signalling somewhere beneath psychedelic garbage heap lay foundation actual story content make made difference world little bit alchemy separate truth crap actually maybe could avoid together go read book insteadall say film ended got free beer glad went glad spent fifteen dollars ticket told shut f asking director question peace
positive,bought game impulse buy walmart glad entertaining listening sean connery playing game thought graphics best ever seen moviegame remake bonus levels hard sniper one think hard made frustrated play game week half many people shooting nothing hide behind life handle thing might change upgrade system notice difference unupgraded equipment upgraded buying armor upgrade seem make armor stronger filling life meter really liked q copter think developers good job
positive,hilariously horrible madefortv horror clinker deadly demonically possessed dessert cake still exceptionally awful yet undeniably amusing thus enjoyable cathode ray refuse reaches breathtaking apex absolute unremitting silliness atrociousness quite tasty soexecrableitsdownrightawesome sort way richard crenna looking haggard possibly inebriated yvette mimieux acts never got brutal rape endured jackson county jail sluggishly portray disgustingly nice respectable suburbanite couple whose quaint dull sleepy small town existence gets ripped asunder cute german shepard take family pet turns ancient lethal evil spirit pretty soon mimieux two repellently cutesy kids kim richards ike eisenmann psychic alien moppets disney witch mountain pictures worshiping crude crayon drawing nasty ugly canine entity den boy sound really scary disturbing well scary disturbing laughably ludicrous claptrap sure sure funny thanks curtis night tide harringtons hopelessly weak direction cartoonish special effects almost painfully risiblenridiculous plot game cast struggles valiantly absurd story besides leads martine beswicke rg armstrong briefly pop members satanic cult victor jory nice cameo helpful native american shaman favorite scene malicious mephestophelion mutt puts whammy crenna practically forcing stick hand wildly spinning lawnmower blade stuckup snobby fright film fans may hold noses perfectly putrid stench admittedly smelly schlock devout tv trash lovers deem endearingly abominable offal boob tube equivalent alpo
negative,easy tell early movie exactly happen die women man vacation made end ultra nazi seventies blonde women supposedly ultra american survivors brunettes deserving deaththis movie like others era contrives bring viewer knows mystery suspense people squabble everything predictable prejudices time laughablethe five people happen upon two savage young characters go nuts everyone nuts directorwriter team justify nazi propagandafor reason guy attracted blonde really much look ignores super hot looking brunette heterosexual man would go nuts one must remember seventies movies meant appeal women mentotally crap totally depressing
positive,marion davies stars remarkable comedy show people released mgm davies plays hick savannah georgia arrives hollywood father dell henderson jalopy arrive hoot davies outrageous southern costume davies lands job slapstick comedy wants brings success meets fellow slapstick star william haines immediately smitten well davies gets job prestigious studio high art studios lands job stuffy period pieces handsome fake actor andre telefair shows ropes typical pretentious hollywood star davies abandons slapstick friend father good life course learns really marion davies wonderful throughout outrageously runs gamut emotions required serious actress william haines usual wonderful comedic self cameos charles chaplin john gilbert famous stars day including director film king vidor silent film sound effects sound pictures coming treasure film
positive,performance every actor actress film excellently natural movie acting directing skill brilliantly handled every details never tired seeing however rather surprised see film included actors director attenboroughs credits puzzles proud making claim made excellent long lasting film audience hoping would get answers puzzles one possibly one knowledgeable personnel insider film
negative,star trek motion picture mostly boring star trek final frontier plain bad terrible sequel crew shore leave get distress signal federation ambassadors representing earth romulus kronos klingon home world kidnapped renegade vulcan bent quest attain starship venture great barrier hopes find god using mysticism bad writing persuades many senior officers enterprise betray kirk get hold ship reach inside great barrier find planet meet godlike alien one bad hard figure begin core good idea never really developed plot goes nowhere instead man gone almost like writers idea end fiasco action scenes suspense wrath kahn philosophy boring humor stale focus anger william shatner takes directors chair ego gets bigger focus spock mccoy give others enough moreover whereas shatner usually guilty overacting previous movies television spots plain bad one kirk reckless practical jokers silly one worst scenes involves three leaders singing song row row row boat round campfire case worst star trek franchise given three ten instead five
positive,despite later claims earlytalkie melodrama little common citizen kane biopic ruthless human fictional plutocrat told flashback hopping around time scriptwriter preston sturges shows none later gift sparkling dialog none myriad cinematic innovations kane evident still watchable young spencer tracy oldman makeup makes look like well old spencer tracy showing depth authority colleen moore little past prime physically well matched playing multifaceted womanbehindtheman also helen vinson one treacherous femmes fatales movie history sending final third ecstatic soapopera reverberations surviving print jumpy missing audio snippets plot holes left open would know whose son sleeping music awfully hokey quite fascinated
positive,best version far see true bronte work dalton little tough imagine rochester jane eyre declared handsome acting overcomes zelah clark pretty also complete believable jane eyre production lengthy watch well worth nearly direct quotes book script want first true romance literature way see every copy movie read reread original filming may seem little dated never another like
negative,apparently people wrote back box bother watch socalled movie described blindingly choreographed intrigue violence saw intrigue instead saw miserable attempt dialogue supposed kung fu movie saw violence least saw nothing could suspend disbelief could possibly hurt man impervious skinbut perhaps revealing much plot furthermore viewer many sundry films include occasional kung fu movie authoritatively say piece celluloid unwatchable whatever may choose always remain correct jonathan tanner ps blinded choreography
negative,liked boyles performance positive thing say everything overdone point absurdity actors spoke like would expect yearold nephew speak pretending jaded stonehearted cop ultraevil villain raspy voiceovers seemed amateurish could go buy cheap synthesizer crank better opening music whole police torture stuff totally superfluous nothing actual events story cox added lot things fact apparently thought would really cool nothing story big disappointment one things makes borges stories good minimalism tightly bound superfluous details movie opposite stopped watching scene lonnrot questioning guy yidische zaitung thereabouts wasted renting least get satisfaction writing review hopefully saving others making mistake
negative,terrific funny movie make smile pity film boring long simply painfull story staggering without goal funyou feel better finished
positive,well made cgi crap anyone else jumping crocs tour darwins adelaide river black water way realistic rogue bit cringeworthythought blonde chick excellent really seen chick babe always excellent v suspenseful would compare jaws man eating animal flick got hole aussie thing pat without going ott struths crikeys well loved
positive,assignment outstanding thriller several plot twists driven character rather star turns need stage special effects obligatory romance endless car chases however car chase dandy aidan quinn wonderful terrorist naval officer recruited eliminate rare second third tier actor quinn given important starring role like carries film usually role given alist actor box office draw probably never heard film saw donald sutherland great morally ambiguous somewhat creepy times agent recruits quinn ben kingsley fine also israeli agent plot complex multiple story lines converge gradual fashion toward end used seeing paranoia claustrophobia type thrillers captured portrayed moral ambiguity frightening intensity locations convincing effective soundtrack nothing special rarely get mentioned qualities days without dumb andor meaningless plot developments unconvincing star turns loud annoying music video type soundtracks villain hams repeatedly cast costumes plot cater mostly audience outstanding thriller assuredly get due upon release stars
positive,one finest movies ever seenthe stark scenerythe isolationthe ignorant bigoted people hiding behind religiona backdrop wordliness sophisticationthe acting completely naturalbut afoodie best actual choosing preparation feasti spent time paris know cuisine wellwhether cafe anglais really exists know know similar establishments babettes menu choice wines authenticand course end despite perfect meal mellows back friendship ending could bethis film seen anyone enough brain taste understand
positive,set second year french republic formed execution louis xvi film portrays power struggle revolutionary leaders danton gerard depardieu finest robespierre commanding performance polish actor wojciech pszoniak moderate revolutionary danton returned paris country seat since deposed leader committee public safety previous year robespierre opposed reign terror resulted executions thousands citizens mainly guillotine thought opposed revolution danton confident support ordinary people tries persuade robespierre curb bloodletting robespierre committee afraid popularity danton lead overthrown put danton supporters trial traitors first french language film made andrzej wajda arrived france poland polish film company closed government due support solidarity trade union opposed polish government late seventies early eighties previous film man iron dealt solidarity union leader lech walesa easy draw comparisons relationship walesa polish leader general jaruselski danton robespierre dantonwalesa voice reason opposed robespierrejaruselski continue dictatorial rule despite lost support people claim represent film based polish play danton affair written stanislawa przybyszewska release film criticised static theatrical film concentrate behindthescenes meetings committees scenes national assembly courtroom rather activities streets paris
negative,usually bit fan bad eighties early nineties film featuring beensbut film incredibly terrible real endurance test sit guys dressing girls done death never pathetically corey haims performance abysmal usual nicole eggert much better redeeming qualities even number fan actoractress piece trash stay away
negative,seen quite films pedro almodóvar would disappointing far film seemed lack zaniness usually everywhere films story never got interested many almodóvar regulars appear film like lack onscreen talent film seemed serious films comedic edge movie certainly could find made one surprisingly weak movie
negative,greatly enjoyed margaret atwoods novel robber bride thrilled see movie version woman frames cop boyfriend murder buddy excop journalist tries clear name checking dead womans crazy female friends fortunate movie script fixes ms atwoods clumsy plotting focusing story two men victims scheming womenheh okay got guys mentioned book pretty sure entirely made movie ill eat dust cover hardback copy apparently three main female characters novel enough carry movie zenias manipulations interesting unless see happen man mans life screwed roz charis toni tell stories man important man hear themi liked characters book hurts see pushed side mans story normally look feminist angles media tried enjoy movie read book might enjoyed movie lot like cop excop want read luck read novel want enjoy luscious prose characterization subtly layered plot plot movie excavated ironed sprinkled male angst like zenias revenge margaret atwood
